Marca temporal,El contenido que deseas compartir es,¿Cuál es el avance o proyecto destacado?,¿Quiénes son los responsables del proyecto?,Describe brevemente el proyecto,"Si lo deseas, puedes compartir material audiovisual o más información al respecto",¿A quién propones para ser entrevistad@?,"¿Conoces algún medio para 
poder contactarle?",¿Cómo se llama el evento?,¿Qué tipo de evento es?,"¿Tienes algún enlace de dónde 
podamos recopilar más información?",¿Deseas añadir más información?,"Puedes compartir material informativo como flyers, imágenes, descripciones u otros",¿Qué tipo de recurso deseas compartir?,Si cuentas con un enlace ingrésalo aquí,Puedes compartir archivos directamente si lo deseas,Indica cuál es la oportunidad de financiamiento,Describe brevemente el foco de la oportunidad,¿Dónde se puede obtener más información al respecto?,"Si lo deseas, puedes incluir archivos asociados a la oportunidad de financiamiento",¿Qué deseas proponer para colaborar?,Describe el ambiente de colaboración que deseas compartir,"Si lo deseas, puedes subir archivos asociados a tu propuesta",¿Qué deseas compartir?,¿Puedes incluir una descripción sobre ello?,Puedes incluir archivos audiovisuales o texto,¿Qué deseas compartir?,Describe de qué se trata,"Si lo deseas puedes subir documentos, imágenes u otros relacionado a lo que deseas compartir"
29/8/2023 16:40:03,Contacto de integrantes,,,,,,,,,,,,,,,,,,,,,,,,,Contacto de integrantes,"Nuestros canales de comunicación por grupo de WhatsApp y Signal están activos. Puedes unirte a uno o ambos: para unirse al grupo de WhatsApp click <a href=""https://secure-web.cisco.com/1yB7aUGdBvBhFcEWf7uCHL9d09pX7ts5kxaDI2mMZJEkzQRX5xgsNpWXg_VQU0uFEynjBDrs-EKApTqA4Ung-Dok6vdPIfYepWP3S-cmu_mOkXpe0xURddR4_2olcNO9-_LxSR5v7aXaAl3JCs3h-WdZ2yBaRrACP9Uc8WSfDmahtjQzheytTa9DLOv6SB-2kOjak_yDF9EifjPSl02kpuOq4IjqALXofowQXZH5DGFF8EmxiKWLAPTNpTAnUYyfQeEsbGzBzFNK9OW-ovPwS2lCE0FsECNDoFfv1UhiEOHkhRRftsXSs1ewQi2pD0nvV/https%3A%2F%2Fsignal.group%2F%23CjQKII6nVtrohxTbIfOGD-A4Kd_iLPWuQal9pLqVFYnXTTjREhAuwBtZN153RIw7h4a2NtCK"">acá</a> y para grupo de Signal click <a href=""https://secure-web.cisco.com/1yB7aUGdBvBhFcEWf7uCHL9d09pX7ts5kxaDI2mMZJEkzQRX5xgsNpWXg_VQU0uFEynjBDrs-EKApTqA4Ung-Dok6vdPIfYepWP3S-cmu_mOkXpe0xURddR4_2olcNO9-_LxSR5v7aXaAl3JCs3h-WdZ2yBaRrACP9Uc8WSfDmahtjQzheytTa9DLOv6SB-2kOjak_yDF9EifjPSl02kpuOq4IjqALXofowQXZH5DGFF8EmxiKWLAPTNpTAnUYyfQeEsbGzBzFNK9OW-ovPwS2lCE0FsECNDoFfv1UhiEOHkhRRftsXSs1ewQi2pD0nvV/https%3A%2F%2Fsignal.group%2F%23CjQKII6nVtrohxTbIfOGD-A4Kd_iLPWuQal9pLqVFYnXTTjREhAuwBtZN153RIw7h4a2NtCK"">acá<a/>.",https://drive.google.com/open?id=1WrddVFkViiY0lkFLNo27dCO30c8LQ9wi
29/8/2023 17:07:20,Propuesta de nombre para esta Red,,,,,,,,,,,,,,,,,,,,,,,,,Propuesta de nombre para esta red,"Pueden seguir añadiendo propuestas de nombre para esta Red, ahora idealmente a través de la encuesta preliminar. Se seleccionará un nombre durante la reunión de Diciembre, dando a conocer la aprobación previa que han tenido las alternativas.","https://drive.google.com/open?id=1bR6hfT7FB67AACQMsGbm4gYml237_M8xk0bvWsKdcqE, https://drive.google.com/open?id=1tyhgqR4ycMOPN9MymmXaTDpp7oOYFeNK, https://drive.google.com/open?id=1RcSiPmCzFuuKaJkXlih5BncAfV1NFyMKTLv4A8Ww9XY"
29/8/2023 17:15:03,Eventos y conferencias,,,,,,,Presentación mensual,Charla,https://secure-web.cisco.com/1sEQbzZm9XfiOOdvMK6sTZtvhkZT4IMykPOGmvvBGfSCwAewSxi4s5JiFAv1ZwTO3Ayv3cNaPmEfUY3ROAbm20IhUXMKxfscjLe6lMiAPZ7qXTfvzLr2Tw86flp2kkQNq-0ysOqMWwK0wSf467nCAuVb8QAY7XEXq77-oBrspwK7Y5ioottcKfQcr4aB34izBsoKcPlp9sPeXvM47Dsoyl9k1iAgbrdjpbKZnpKgLe82kdUhiK2WiD6bwDUTVi6edE9qXKVjO8wEI9hHYGEVZE3dO1GcYqADmSf_uoXWNgiCcb8FqNeZYKci-Agola83a/https%3A%2F%2Fdocs.google.com%2Fspreadsheets%2Fd%2F1wJor56285MoSfz_4saAbdSqY--ayCE5Zd3neXu5NGNI,Recuerden que pueden proponer sus propias presentaciones en el calendario en Google Drive.,"https://drive.google.com/open?id=1e37XIkt8ZbHexjW1cj9pcs2HUip3YA2NR7R6objw1OA, https://drive.google.com/open?id=10VJqES2Y_kfBmrNA14K27yzv_B-ZmY2P",,,,,,,,,,,,,,,,
2/9/2023 15:46:48,Propuesta de colaboración,,,,,,,,,,,,,,,,,,,Robotics Meet Up,"Buscamos Local Chairs para incorporar más sedes al Robotics Meet Up 2023, un evento simultáneo a nivel nacional, que integra un taller dedicado a escolares, un taller para profesionales disponible vía streaming y charlas locales de académicos e industria.",https://drive.google.com/open?id=1e_LmKs7vIe8X310gt8YaVlszHNo1Rcnp,,,,,,
2/9/2023 16:01:07,Oportunidades de financiamiento,,,,,,,,,,,,,,,StartUp Ciencia 2024,Se abrieron las convocatorias a este fondo que busca incrementar los emprendimientos de base científico-tecnológica. ANID otorga hasta $130.000.000 para proyectos de una duración de 12 meses (extendible otros 6). Cierre de convocatoria el 16 de Noviembre de 2023.,https://anid.cl/concursos/startup-ciencia-2024/,https://drive.google.com/open?id=1TySVWw_m1FXPsf2X4_nKJwb39u1jSiKc,,,,,,,,,
2/9/2023 16:07:50,Oportunidades de financiamiento,,,,,,,,,,,,,,,Concurso de Apoyo a Institutos Milenio en Ciencias Naturales y Exactas; y en Ciencias Sociales 2023,Este instrumento para Institutos Milenio en Ciencias Naturales y Exactas promueve la creación y desarrollo de grupos de investigación que avancen en base a cuatro ejes; la investigación competitiva a nivel internacional; formación de nuevos científicos; formación y mantención de redes nacionales e internacionales de colaboración; y difusión y transferencia de conocimiento hacia otros sectores de la sociedad. Cierre de convocatoria el martes 03 de Octubre.,https://anid.cl/concursos/concurso-de-apoyo-a-institutos-milenio-en-ciencias-naturales-y-exactas-y-en-ciencias-sociales-2023/,https://drive.google.com/open?id=1EC7aIDosCy3iThsadHZ2gLfihjQxrrYi,,,,,,,,,
2/9/2023 16:12:44,Oportunidades de financiamiento,,,,,,,,,,,,,,, IDeA I+D 2024,Concurso que busca impulsar el desarrollo de proyectos de investigación e innovación de base científica tecnológica en estrecha colaboración con el sector privado. Subsidio máximo de 220 millones de pesos. Cierre de la convocatoria el 05 de octubre de 2023,https://anid.cl/concursos/concurso-idea-id-2024/,https://drive.google.com/open?id=1P2_QY3TlVJtf8K3pA6H5HCicZKDCRdLC,,,,,,,,,
2/9/2023 16:20:10,Oportunidades de financiamiento,,,,,,,,,,,,,,,Otros concursos ANID Abiertos,"- XV Concurso de Estudios sobre Pluralismo 2023
- Ciencia 2030 Etapa 1 Diagnóstico y Plan Estratégico
- Nodos de Especialización 2023 – Línea 1 y Línea 2
- Convocatoria para indexación en colección SciELO
",https://anid.cl/concursos/jsf/jet-engine/meta/estado:Abierto/,https://drive.google.com/open?id=1bI3CFvZwWp5vctf5zwMR9d_CZrfyDQnC,,,,,,,,,
